"wk_aussicht_1981" "wk_gold_1972" "wk_gruesse_2003" "wk_heilewelt_1998" "wk_hundstage_1988" "wk_kapitel_1975" "wk_markbein_1991" "wk_tadel_1971" "wk_umsonst_2006" "wk_willkommen_1984" "wk_zeit_1978"
"schon" 0.280293078376689 0.21600066461743 0.342287961846771 0.308955620878034 0.25753944788522 0.280416560833122 0.284568619842194 0.286872525136617 0.334785901671734 0.255571880884879 0.268113175720665
"hier" 0.246573610301297 0.22905564984156 0.373085079236583 0.324642109355285 0.284771715788491 0.220472440944882 0.411762169620144 0.218211232235066 0.366618003797899 0.254537176913685 0.187324106215432
"sei" 0.0449592907671881 0.410638626140828 0.322929773773175 0.244163603254605 0.315894307677943 0.336296672593345 0.267322036821455 0.628297858332001 0.189894954062984 0.340417606522774 0.0301849270678895
"ob" 0.220581520326517 0.305011927509228 0.288612985824527 0.246891688207171 0.264542031060347 0.244856489712979 0.306126848618118 0.344247030163941 0.259047451785342 0.308341783415765 0.240591624570531
"wir" 0.0807862255972912 0.627826107596815 0.0519151407428265 0.0511515928606017 0.0676916373595593 0.691897383794768 0.0883887379812875 0.601021454302618 0.115254162870597 0.487345570432299 0.259235255994815
"immer" 0.241656187873636 0.397583640916697 0.185662621978583 0.228477114777354 0.155612959447263 0.337312674625349 0.161686715819428 0.407264929128378 0.276609990889433 0.234877801461002 0.29918589476114
"oder" 0.226201431672415 0.318066912733358 0.181263033780038 0.255757964303008 0.234975568765367 0.473456946913894 0.241452162290346 0.258655555451048 0.143793288914745 0.280404776193531 0.296522518843385
"wieder" 0.281698056213163 0.351297784212962 0.293012574023071 0.231887220968061 0.210855560051041 0.298704597409195 0.211270642004053 0.268061212012905 0.276609990889433 0.242120729259359 0.226386953009171
"sagte" 0.00772737810061046 0.420133160849286 0.284213397625982 0.195058074108428 0.281659456599546 0.308864617729235 0.209114819126461 0.556814868461893 0.375399273349945 0.240051321316971 0.0594820621631939
"einem" 0.222688987081229 0.188703877330612 0.307971173898123 0.257122006779291 0.252092994304566 0.266192532385065 0.30828267149571 0.204102747392282 0.201969199697046 0.318688823127703 0.252132920214135
"nun" 0.326657346980351 0.220747931971659 0.203260974772761 0.242799560778323 0.232641374373658 0.214376428752858 0.191868236105722 0.246428201920635 0.222824714883154 0.227634873662645 0.193538650023526
"vor" 0.179837163068753 0.178022525783596 0.273654385949475 0.260532112969998 0.262985901465874 0.198120396240792 0.278101151209417 0.203162181736096 0.205262175779063 0.23177368954742 0.195314233968696
"am" 0.237441254364212 0.233802917195789 0.22085932756694 0.235297327158768 0.185179421742243 0.179832359664719 0.191868236105722 0.237022545358779 0.248070864845285 0.207975498209962 0.240591624570531
"habe" 0.0154547562012209 0.405891358786598 0.309731009177541 0.212790626300103 0.231863309576422 0.307848615697231 0.185400767472944 0.473104525061372 0.139402654138722 0.171760859218178 0.0381750548211543
"ihn" 0.166489873622244 0.141231203788319 0.395962937869015 0.237343390873192 0.307335594908344 0.15240030480061 0.245763808045531 0.144847111052587 0.244777888763268 0.109678620946547 0.203304361721961
"einer" 0.186159563332888 0.258726070805493 0.239337598000827 0.217564774967092 0.186735551336715 0.218440436880874 0.2263614021472 0.20222161607991 0.186601977980967 0.232808393518614 0.200640985804206
"alles" 0.136282850138039 0.286022858092311 0.21206015116985 0.206652435156831 0.167283931405807 0.258064516129032 0.163842538697021 0.276526302918575 0.3281999495077 0.151066779794301 0.174895018599242
"über" 0.160869962276345 0.173275258429367 0.260455621353841 0.21620073249081 0.243534281534966 0.187960375920752 0.295347734230156 0.19375652517424 0.206359834473069 0.23694720940339 0.187324106215432
